ProjectName; IRN; OPN; CHM; CHD; Description ;Date;

JpetStore;46.0;33.0;0.367;0.422;Method description ;24/04/2020 12:45:51;
SpringBlog;45.0;23.0;0.464;0.464;Method description ;24/04/2020 12:45:52;
PetClinic;20.0;13.0;0.274;0.340;Method description ;24/04/2020 12:45:53;

JpetStore;46.0;33.0;0.367;0.422;Method description ;28/04/2020 08:07:42;
SpringBlog;45.0;23.0;0.464;0.464;Method description ;28/04/2020 08:07:43;
PetClinic;20.0;13.0;0.274;0.340;Method description ;28/04/2020 08:07:44;

JpetStore;46.0;33.0;0.367;0.422;Before change to range 0,n-1 1,n ;28/04/2020 08:09:02;
SpringBlog;45.0;23.0;0.464;0.464;Before change to range 0,n-1 1,n ;28/04/2020 08:09:03;
PetClinic;20.0;13.0;0.274;0.340;Before change to range 0,n-1 1,n ;28/04/2020 08:09:04;


JpetStore;46.0;33.0;0.183;0.422;After change to 0,n-1,1n, == 1 ;28/04/2020 09:17:34;
SpringBlog;45.0;23.0;0.332;0.464;After change to 0,n-1,1n, == 1 ;28/04/2020 09:17:35;
PetClinic;20.0;13.0;0.199;0.340;After change to 0,n-1,1n, == 1 ;28/04/2020 09:17:35;

JpetStore;46.0;33.0;0.383;0.422;After change to 0,n-1,1n, <= 1 CHM ;28/04/2020 09:19:21;
SpringBlog;45.0;23.0;0.799;0.464;After change to 0,n-1,1n, <= 1 CHM ;28/04/2020 09:19:22;
PetClinic;20.0;13.0;0.699;0.340;After change to 0,n-1,1n, <= 1 CHM ;28/04/2020 09:19:22;

JpetStore;46.0;33.0;0.351;0.422;After changes according to RS17 ;28/04/2020 11:15:06;
SpringBlog;45.0;23.0;0.420;0.464;After changes according to RS17 ;28/04/2020 11:15:07;
PetClinic;20.0;13.0;0.265;0.340;After changes according to RS17 ;28/04/2020 11:15:08;

JpetStore;46.0;33.0;0.351;0.422;After changes according to RS17 - skip services with no operations ;28/04/2020 11:19:28;
SpringBlog;45.0;23.0;0.420;0.464;After changes according to RS17 - skip services with no operations ;28/04/2020 11:19:29;
PetClinic;20.0;13.0;0.265;0.340;After changes according to RS17 - skip services with no operations ;28/04/2020 11:19:29;

JpetStore;46.0;33.0;0.439;0.422;Contando apenas os services com operações ;28/04/2020 11:26:58;
SpringBlog;45.0;23.0;0.788;0.464;Contando apenas os services com operações ;28/04/2020 11:26:59;
PetClinic;20.0;13.0;0.530;0.340;Contando apenas os services com operações ;28/04/2020 11:27:00;

JpetStore;46.0;33.0;0.351;0.422;Contando apenas os services com operações ;28/04/2020 12:15:34;
SpringBlog;45.0;23.0;0.420;0.464;Contando apenas os services com operações ;28/04/2020 12:15:35;
PetClinic;20.0;13.0;0.265;0.340;Contando apenas os services com operações ;28/04/2020 12:15:36;

JpetStore;46.0;33.0;0.351;0.422;Contando apenas os services com operações ;28/04/2020 12:16:37;
SpringBlog;45.0;23.0;0.420;0.464;Contando apenas os services com operações ;28/04/2020 12:16:39;
PetClinic;20.0;13.0;0.265;0.340;Contando apenas os services com operações ;28/04/2020 12:16:39;

JpetStore;46.0;33.0;0.351;0.422;Contando apenas os services com operações ;28/04/2020 12:17:38;
SpringBlog;45.0;23.0;0.420;0.464;Contando apenas os services com operações ;28/04/2020 12:17:40;
PetClinic;20.0;13.0;0.265;0.340;Contando apenas os services com operações ;28/04/2020 12:17:40;

JpetStore;46.0;33.0;0.351;0.217;Contando apenas os services com operações ;28/04/2020 15:25:38;
SpringBlog;45.0;23.0;0.420;0.329;Contando apenas os services com operações ;28/04/2020 15:25:39;
PetClinic;20.0;13.0;0.265;0.239;Contando apenas os services com operações ;28/04/2020 15:25:40;

JpetStore;46.0;33.0;0.351;0.271;Contando apenas os services com operações ;28/04/2020 15:30:11;
SpringBlog;45.0;23.0;0.420;0.617;Contando apenas os services com operações ;28/04/2020 15:30:12;
PetClinic;20.0;13.0;0.265;0.478;Contando apenas os services com operações ;28/04/2020 15:30:12;

JpetStore;46.0;33.0;0.439;0.271;chm & chd divided by counted services ;28/04/2020 15:32:26;
SpringBlog;45.0;23.0;0.788;0.617;chm & chd divided by counted services ;28/04/2020 15:32:27;
PetClinic;20.0;13.0;0.530;0.478;chm & chd divided by counted services ;28/04/2020 15:32:27;


