JpetStore
IRN; OPN; CHM; CHD; Description ;Date;
46.0;33.0;0.367;0.422;Method description ;24/04/2020 12:45:51;
46.0;33.0;0.367;0.422;Method description ;28/04/2020 08:07:42;
46.0;33.0;0.367;0.422;Before change to range 0,n-1 1,n ;28/04/2020 08:09:02;

46.0;33.0;0.183;0.422;After change to 0,n-1,1n, == 1 ;28/04/2020 09:17:34;
46.0;33.0;0.383;0.422;After change to 0,n-1,1n, <= 1 CHM ;28/04/2020 09:19:21;
46.0;33.0;0.351;0.422;After changes according to RS17 ;28/04/2020 11:15:06;
46.0;33.0;0.351;0.422;After changes according to RS17 - skip services with no operations ;28/04/2020 11:19:28;
46.0;33.0;0.351;0.422;After changes according to RS17 - skip services with no operations ;28/04/2020 11:20:20;
46.0;33.0;0.439;0.422;Contando apenas os services com operações ;28/04/2020 11:26:58;
46.0;33.0;0.351;0.422;Contando apenas os services com operações ;28/04/2020 12:15:34;
46.0;33.0;0.351;0.422;Contando apenas os services com operações ;28/04/2020 12:16:37;
46.0;33.0;0.351;0.422;Contando apenas os services com operações ;28/04/2020 12:17:38;
46.0;33.0;0.351;0.217;Contando apenas os services com operações ;28/04/2020 15:25:38;
46.0;33.0;0.351;0.271;Contando apenas os services com operações ;28/04/2020 15:30:11;
46.0;33.0;0.439;0.271;chm & chd divided by counted services ;28/04/2020 15:32:26;
