PetClinic
IRN; OPN; CHM; CHD; Description ;Date;
20.0;13.0;0.274;0.340;Method description ;24/04/2020 12:45:53;
20.0;13.0;0.274;0.340;Method description ;28/04/2020 08:07:44;
20.0;13.0;0.274;0.340;Before change to range 0,n-1 1,n ;28/04/2020 08:09:04;

20.0;13.0;0.199;0.340;After change to 0,n-1,1n, == 1 ;28/04/2020 09:17:35;
20.0;13.0;0.699;0.340;After change to 0,n-1,1n, <= 1 CHM ;28/04/2020 09:19:22;
20.0;13.0;0.265;0.340;After changes according to RS17 ;28/04/2020 11:15:08;
20.0;13.0;0.265;0.340;After changes according to RS17 - skip services with no operations ;28/04/2020 11:19:29;
20.0;13.0;0.265;0.340;After changes according to RS17 - skip services with no operations ;28/04/2020 11:20:22;
20.0;13.0;0.530;0.340;Contando apenas os services com operações ;28/04/2020 11:27:00;
20.0;13.0;0.265;0.340;Contando apenas os services com operações ;28/04/2020 12:15:36;
20.0;13.0;0.265;0.340;Contando apenas os services com operações ;28/04/2020 12:16:39;
20.0;13.0;0.265;0.340;Contando apenas os services com operações ;28/04/2020 12:17:40;
20.0;13.0;0.265;0.239;Contando apenas os services com operações ;28/04/2020 15:25:40;
20.0;13.0;0.265;0.478;Contando apenas os services com operações ;28/04/2020 15:30:12;
20.0;13.0;0.530;0.478;chm & chd divided by counted services ;28/04/2020 15:32:27;
