SpringBlog
IRN; OPN; CHM; CHD; Description ;Date;
45.0;23.0;0.464;0.464;Method description ;24/04/2020 12:45:52;
45.0;23.0;0.464;0.464;Method description ;28/04/2020 08:07:43;
45.0;23.0;0.464;0.464;Before change to range 0,n-1 1,n ;28/04/2020 08:09:03;

45.0;23.0;0.332;0.464;After change to 0,n-1,1n, == 1 ;28/04/2020 09:17:35;
45.0;23.0;0.799;0.464;After change to 0,n-1,1n, <= 1 CHM ;28/04/2020 09:19:22;
45.0;23.0;0.420;0.464;After changes according to RS17 ;28/04/2020 11:15:07;
45.0;23.0;0.420;0.464;After changes according to RS17 - skip services with no operations ;28/04/2020 11:19:29;
45.0;23.0;0.420;0.464;After changes according to RS17 - skip services with no operations ;28/04/2020 11:20:21;
45.0;23.0;0.788;0.464;Contando apenas os services com operações ;28/04/2020 11:26:59;
45.0;23.0;0.420;0.464;Contando apenas os services com operações ;28/04/2020 12:15:35;
45.0;23.0;0.420;0.464;Contando apenas os services com operações ;28/04/2020 12:16:39;
45.0;23.0;0.420;0.464;Contando apenas os services com operações ;28/04/2020 12:17:40;
45.0;23.0;0.420;0.329;Contando apenas os services com operações ;28/04/2020 15:25:39;
45.0;23.0;0.420;0.617;Contando apenas os services com operações ;28/04/2020 15:30:12;
45.0;23.0;0.788;0.617;chm & chd divided by counted services ;28/04/2020 15:32:27;
