name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,RESOLUTION,CHM,CHD,IRN,IFN,OPN,CMQ,SMQ,SERVICES
miansen/Roothub,389,33,64444,100,37, Java,4,16,miansen,Roothub,0.3,0.31236736427009903,0.3411999856796196,610.0,1.6111111111111112,201.0,0.3734459059168087,0.1419591879113192,34.0
huanglu20124/invoice,73,12,78906,95,55, Java,11,2,huanglu20124,invoice,0.4,0.6921847147950089,0.5501309360466675,310.0,1.0,45.0,0.27800825717492383,0.1403883649419364,9.0
Lab41/Dendrite,101,17,6344,92,25, JavaScript,13,18,Lab41,Dendrite,0.3,0.5640079365079367,0.6987408667170572,596.0,1.2,46.0,0.4934467120181407,0.19265887188208616,21.0
pibigstar/parsevip,90,17,17399,87,28, Java,3,0,pibigstar,parsevip,0.3,0.7555047225501771,0.4266430539157813,8.0,1.3636363636363635,68.0,0.21668934240362808,0.3797222222222223,15.0
OCR4all/OCR4all,47,18,3648,86,15, JavaScript,22,13,OCR4all,OCR4all,0.3,0.8106591121297004,0.989455176009798,175.0,1.2727272727272727,99.0,0.6356250000000001,0.2633391203703703,16.0
moocss/EasyCMS,64,12,10180,86,80, JavaScript,24,0,moocss,EasyCMS,0.4,0.7268315018315019,0.9666666666666668,49.0,1.25,48.0,0.42171075837742505,0.1917724867724868,10.0
Vino007/javaEEScaffold,45,21,7221,84,53, JavaScript,14,2,Vino007,javaEEScaffold,0.4,0.5052655677655677,0.2463369963369963,143.0,1.75,42.0,0.30859504132231397,0.20770202020202014,11.0
GdeiAssistant/GdeiAssistant,455,84,18586,79,38, Java,7,0,GdeiAssistant,GdeiAssistant,0.3,0.4041276425437916,0.7855426664966372,757.0,1.6571428571428573,196.0,0.3688843286206129,0.2270141569891001,37.0
purang-fintech/seppb,430,45,960,79,30, Java,5,1,purang-fintech,seppb,0.3,0.4251300430648257,0.6482147110325945,1149.0,1.4347826086956519,264.0,0.3999275556093738,0.17896135335402374,33.0
muralibasani/kafkawize,99,27,21305,70,9, CSS,12,0,muralibasani,kafkawize,0.4,0.5689542483660129,0.6310835243188184,744.0,1.0,46.0,0.3766151430986596,0.08213653410081978,14.0
qianqianjun/Educational-management,100,20,5305,66,18, Java,8,3,qianqianjun,Educational-management,0.3,1.0,0.9714285714285714,249.0,1.0,26.0,0.5141647770219199,0.3018892668178382,15.0
wsk1103/movie-boot,217,23,46596,60,72, TSQL,5,0,wsk1103,movie-boot,0.4,0.5674420532263671,0.6552453819523146,1123.0,1.7777777777777777,121.0,0.3885991804351918,0.17755749607925905,24.0
JoeyBling/bootplus,150,13,40245,58,23, JavaScript,3,0,JoeyBling,bootplus,0.3,0.5441403834260977,0.2804081632653061,121.0,1.2857142857142858,50.0,0.3618716549800748,0.17780906344019085,18.0
forTribeforXuanmo/sword-forum,79,12,9186,57,29, JavaScript,1,4,forTribeforXuanmo,sword-forum,0.3,0.3565024630541872,0.4378282396702523,336.0,1.0,73.0,0.18975164030109085,0.13376286412000699,14.0
justinscript/travel.b2b,515,36,30388,51,51, Java,18,7,justinscript,travel.b2b,0.3,0.4703824898770173,0.31438330798886954,1772.0,2.2142857142857144,299.0,0.2473462463535642,0.1073072511685281,31.0
superman544/JavaOJSystem,192,20,6748,47,25, JavaScript,4,2,superman544,JavaOJSystem,0.3,0.3616759166759166,0.6207197185530519,570.0,1.1333333333333333,129.0,0.3578686202686203,0.2056260796816352,25.0
514840279/danyuan-application,277,51,44785,46,24, Java,7,0,514840279,danyuan-application,0.4,0.5597273163344592,0.4724151047365333,550.0,1.3214285714285714,134.0,0.7427700944745964,0.27446389315687564,31.0
iminto/baicai,84,12,23464,41,29, HTML,8,0,iminto,baicai,0.3,0.7591503267973856,0.8611111111111112,68.0,2.0,29.0,0.22118705470353825,0.2766361416361416,14.0
krishagni/openspecimen,1244,70,1333052,41,44, Java,36,2,krishagni,openspecimen,0.3,0.2608499727868803,0.477902750084857,10659.0,1.5135135135135136,507.0,0.2829098142505447,0.10530141196960273,51.0
justinscript/shopping.plat,298,14,7726,39,36, Java,14,3,justinscript,shopping.plat,0.3,0.7031730147885141,0.12378217480877116,999.0,1.625,165.0,0.2260342813808009,0.12495170791590472,24.0
cym1102/nginxWebUI,82,18,4148,39,9, HTML,2,0,cym1102,nginxWebUI,0.3,0.4640989606206997,0.5151295564339042,286.0,1.1333333333333333,117.0,0.25381673881673883,0.2677181788119288,16.0
Jannchie/biliob_backend,200,22,1111,37,11, Java,0,4,Jannchie,biliob_backend,0.4,0.5472120892404868,0.6943348737143612,319.0,1.0666666666666669,128.0,0.4081777146883685,0.1812757906459839,18.0
INCF/eeg-database,1007,84,168168,36,8, Java,53,32,INCF,eeg-database,0.3,0.3466329388631931,0.28027895585793405,3419.0,2.708333333333333,470.0,0.38637606991420576,0.10353321823697932,46.0
Lotharing/SDIMS,112,20,799,34,7, Java,0,6,Lotharing,SDIMS,0.3,0.6742368742368743,0.9311355311355312,386.0,1.1538461538461535,69.0,0.6190449256625726,0.04279046287318347,17.0
kanban/kanban-app,140,12,1380,34,23, Java,9,5,kanban,kanban-app,0.3,0.39674685901101003,0.6353946781595549,369.0,2.0,68.0,0.4777895392658945,0.20369763225155385,18.0
Frodez/BlogManagePlatform,317,15,20182,33,15, Java,2,0,Frodez,BlogManagePlatform,0.3,0.5348214285714286,1.0,454.0,1.0,41.0,0.3289358235235331,0.17139559457860168,23.0
finallysmile3/ExamSystem,108,17,46351,33,18, Java,2,4,finallysmile3,ExamSystem,0.3,0.6494505494505496,0.4006889935461364,617.0,1.1538461538461535,91.0,0.29917499599593017,0.15053788463714934,17.0
cloudfoundry-attic/login-server,133,23,7777,32,52, Java,77,3,cloudfoundry-attic,login-server,0.3,0.5542824074074073,0.4790254682119762,30.0,1.0,64.0,0.264792899408284,0.20573361823361824,13.0
atlasapi/atlas,1797,69,29140,32,10, Java,10,23,atlasapi,atlas,0.3,0.6411957525270761,0.524769743407815,644.0,2.4705882352941178,222.0,0.3158366314289289,0.11771640034663748,59.0
metasfresh/metasfresh-webui-api-legacy,1081,53,12230,30,34, Java,11,283,metasfresh,metasfresh-webui-api-legacy,0.3,0.2852696754559809,0.2852331282450103,4205.0,1.5294117647058822,319.0,0.25965970050916104,0.09748245141702376,46.0
tangdu/smh2,111,25,92244,27,22, JavaScript,7,0,tangdu,smh2,0.3,0.6130303030303029,0.8287311894454751,181.0,1.1,110.0,0.33965947279983194,0.2759771465953531,24.0
qiao-zhi/jwxt,595,76,25888,26,8, Java,7,2,qiao-zhi,jwxt,0.3,0.4877754210604384,0.719594495306276,674.0,1.818181818181818,321.0,0.26322711165593715,0.15379146686344566,60.0
jiangzongyao/kettle-master,70,13,3313,24,13, JavaScript,2,0,jiangzongyao,kettle-master,0.3,0.7052308802308802,0.5495361781076067,263.0,1.0909090909090908,52.0,0.2681632653061224,0.2379606683943419,15.0
jdmr/mateo,704,149,13710,23,43, Java,13,3,jdmr,mateo,0.4,0.433054472948454,0.25843974136705283,1736.0,1.8378378378378382,495.0,0.4614591196806943,0.18667882259080532,47.0
shuxianfeng/movision,886,80,33626,21,20, Java,2,0,shuxianfeng,movision,0.4,0.8592850890039494,0.4470222964320119,4484.0,2.6153846153846154,613.0,0.3180340092898232,0.1903091274415427,47.0
leluque/university-site-cms,254,23,35036,21,13, JavaScript,8,9,leluque,university-site-cms,0.3,0.4172366157414005,0.4642006370483814,276.0,1.6363636363636365,124.0,0.3942898313231586,0.1479537394821092,18.0
