name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo
miansen/Roothub,389,33,64444,100,37, Java,4,16,miansen,Roothub
huanglu20124/invoice,73,12,78906,95,55, Java,11,2,huanglu20124,invoice
Lab41/Dendrite,101,17,6344,92,25, JavaScript,13,18,Lab41,Dendrite
pibigstar/parsevip,90,17,17399,87,28, Java,3,0,pibigstar,parsevip
OCR4all/OCR4all,47,18,3648,86,15, JavaScript,22,13,OCR4all,OCR4all
moocss/EasyCMS,64,12,10180,86,80, JavaScript,24,0,moocss,EasyCMS
Vino007/javaEEScaffold,45,21,7221,84,53, JavaScript,14,2,Vino007,javaEEScaffold
GdeiAssistant/GdeiAssistant,455,84,18586,79,38, Java,7,0,GdeiAssistant,GdeiAssistant
purang-fintech/seppb,430,45,960,79,30, Java,5,1,purang-fintech,seppb
muralibasani/kafkawize,99,27,21305,70,9, CSS,12,0,muralibasani,kafkawize
qianqianjun/Educational-management,100,20,5305,66,18, Java,8,3,qianqianjun,Educational-management
wsk1103/movie-boot,217,23,46596,60,72, TSQL,5,0,wsk1103,movie-boot
JoeyBling/bootplus,150,13,40245,58,23, JavaScript,3,0,JoeyBling,bootplus
forTribeforXuanmo/sword-forum,79,12,9186,57,29, JavaScript,1,4,forTribeforXuanmo,sword-forum
candyadmin/likejd,800,123,171844,55,45, HTML,7,2,candyadmin,likejd
justinscript/travel.b2b,515,36,30388,51,51, Java,18,7,justinscript,travel.b2b
JoeyBling/hqc_mp,309,49,20894,51,25, JavaScript,4,5,JoeyBling,hqc_mp
superman544/JavaOJSystem,192,20,6748,47,25, JavaScript,4,2,superman544,JavaOJSystem
ErnestMing/pss2,168,27,4186,46,48, Java,8,1,ErnestMing,pss2
514840279/danyuan-application,277,51,44785,46,24, Java,7,0,514840279,danyuan-application
Nikati/WebStack-Guns-NKT,152,17,4719,43,26, Java,3,1,Nikati,WebStack-Guns-NKT
iminto/baicai,84,12,23464,41,29, HTML,8,0,iminto,baicai
krishagni/openspecimen,1244,70,1333052,41,44, Java,36,2,krishagni,openspecimen
justinscript/shopping.plat,298,14,7726,39,36, Java,14,3,justinscript,shopping.plat
cym1102/nginxWebUI,82,18,4148,39,9, HTML,2,0,cym1102,nginxWebUI
Jannchie/biliob_backend,200,22,1111,37,11, Java,0,4,Jannchie,biliob_backend
INCF/eeg-database,1007,84,168168,36,8, Java,53,32,INCF,eeg-database
Lotharing/SDIMS,112,20,799,34,7, Java,0,6,Lotharing,SDIMS
kanban/kanban-app,140,12,1380,34,23, Java,9,5,kanban,kanban-app
Frodez/BlogManagePlatform,317,15,20182,33,15, Java,2,0,Frodez,BlogManagePlatform
finallysmile3/ExamSystem,108,17,46351,33,18, Java,2,4,finallysmile3,ExamSystem
cloudfoundry-attic/login-server,133,23,7777,32,52, Java,77,3,cloudfoundry-attic,login-server
atlasapi/atlas,1797,69,29140,32,10, Java,10,23,atlasapi,atlas
metasfresh/metasfresh-webui-api-legacy,1081,53,12230,30,34, Java,11,283,metasfresh,metasfresh-webui-api-legacy
nysenate/GeoApi,407,20,20700,27,8, Java,10,3,nysenate,GeoApi
tangdu/smh2,111,25,92244,27,22, JavaScript,7,0,tangdu,smh2
qiao-zhi/jwxt,595,76,25888,26,8, Java,7,2,qiao-zhi,jwxt
jiangzongyao/kettle-master,70,13,3313,24,13, JavaScript,2,0,jiangzongyao,kettle-master
jdmr/mateo,704,149,13710,23,43, Java,13,3,jdmr,mateo
shuxianfeng/movision,886,80,33626,21,20, Java,2,0,shuxianfeng,movision
leluque/university-site-cms,254,23,35036,21,13, JavaScript,8,9,leluque,university-site-cms
zhangdaiscott/jeecg-nomaven,596,99,175855,19,30, JavaScript,5,0,zhangdaiscott,jeecg-nomaven
ghostxbh/uzy-ssm-mall,89,19,10103,19,11, Java,1,0,ghostxbh,uzy-ssm-mall
OpenGeoportal/OGP2,330,24,134850,18,14, JavaScript,7,11,OpenGeoportal,OGP2
litblank/hammer,226,24,2014,18,1, Java,2,0,litblank,hammer
datasphere-oss/datasphere-service,1371,67,7181,17,6, Java,4,4,datasphere-oss,datasphere-service
choerodon/agile-service-old,914,98,10605,17,16, Java,8,1,choerodon,agile-service-old
kai8406/cmop,237,34,17904,17,13, Java,8,1,kai8406,cmop
gliderwiki/glider,329,32,64298,15,12, Java,11,2,gliderwiki,glider
hslooooooool/form_flow,467,49,6827,15,17, JavaScript,3,1,hslooooooool,form_flow
mozammel/mNet,148,21,2666,15,14, JavaScript,13,3,mozammel,mNet
easy-ware/api-manager,181,90,21297,15,7, Java,4,5,easy-ware,api-manager
15005935651/Guns-Medical,178,19,1746,15,8, Java,0,2,15005935651,Guns-Medical
lvr1997/ershoujiaoyi,78,11,8678,14,7, Java,0,7,lvr1997,ershoujiaoyi
ErnestMing/pss1,176,29,4154,14,11, Java,1,0,ErnestMing,pss1
Ryan--Yang/CBoard-boot,228,15,17412,13,17, JavaScript,6,2,Ryan--Yang,CBoard-boot
GZzzhsmart/P2Pproj,275,42,98201,13,8, JavaScript,1,4,GZzzhsmart,P2Pproj
HIIT/dime-server,91,12,97425,13,7, Java,27,23,HIIT,dime-server
doooyo/Weixin_Server,303,32,4538,13,11, Java,4,0,doooyo,Weixin_Server
justinbaby/my-paper,463,100,67396,13,4, Java,2,0,justinbaby,my-paper
edgexfoundry/core-data,38,15,135,12,10, Java,11,0,edgexfoundry,core-data
mofadeyunduo/online-judge,43,16,32227,12,11, Java,3,0,mofadeyunduo,online-judge
MiniPa/cjs_ssms,98,13,6101,11,10, Java,2,1,MiniPa,cjs_ssms
AURIN/online-whatif,429,22,23590,11,5, Java,13,2,AURIN,online-whatif
fishstormX/fishmaple,173,21,5532,11,1, JavaScript,2,6,fishstormX,fishmaple
opendevstack/ods-provisioning-app,146,11,1516,11,15, Java,26,47,opendevstack,ods-provisioning-app
parasoft/parabank,260,71,12703,10,15, JavaScript,9,1,parasoft,parabank
MaritimeConnectivityPlatform/IdentityRegistry,124,24,1777,10,8, Java,4,0,MaritimeConnectivityPlatform,IdentityRegistry
zhangyanbo2007/youkefu,830,99,5,10,30, Java,1,0,zhangyanbo2007,youkefu
BCSquad/pmph,953,87,16637,10,5, Java,5,14,BCSquad,pmph
starqiu/RDMP1,60,30,24114,10,12, Java,5,0,starqiu,RDMP1
Propro-Studio/propro-server,310,21,55498,10,0, CSS,2,2,Propro-Studio,propro-server
yunchaoyun/active4j-flow,219,47,6252,9,7, JavaScript,1,0,yunchaoyun,active4j-flow
BCSquad/pmph_java_front,369,55,16152,9,1, Java,6,0,BCSquad,pmph_java_front
yorkmass/Yark-AdminMS,69,12,41214,9,0, JavaScript,1,1,yorkmass,Yark-AdminMS
vector1989/EMAS,265,26,145156,9,5, Java,1,1,vector1989,EMAS
768330962/poet_ready_system,57,14,1629,8,5, HTML,0,3,768330962,poet_ready_system
EUSurvey/EUSURVEY,294,46,119095,8,2, Java,5,11,EUSurvey,EUSURVEY
suyeq/steamMall,120,13,6524,8,2, CSS,2,2,suyeq,steamMall
zlren/noah-health,86,12,320,8,6, Java,3,0,zlren,noah-health
Prasad108/TutesMessanger,109,20,6700,8,3, JavaScript,8,18,Prasad108,TutesMessanger
busing/circle_web,268,19,30032,8,3, Java,1,0,busing,circle_web
UDA-EJIE/udaLib,320,13,13194,7,2, Java,17,3,UDA-EJIE,udaLib
bbaibb1009/wxcrm,95,15,25903,7,10, Java,4,1,bbaibb1009,wxcrm
15326047083/saomadiancan,75,15,7808,6,1, JavaScript,0,0,15326047083,saomadiancan
khasang/delivery,218,11,7443,6,6, Java,8,5,khasang,delivery
TexnologiaLogismikou/Fiz,199,18,1160,6,0, Java,5,3,TexnologiaLogismikou,Fiz
ming-soft/ms-mpeople,42,11,623,6,17, Java,1,0,ming-soft,ms-mpeople
uq-eresearch/oztrack,213,57,9227,6,7, Java,3,43,uq-eresearch,oztrack
wang007/live-server,238,23,6130,6,5, JavaScript,4,0,wang007,live-server
zxwgdft/paladin-boot,328,17,97803,6,0, JavaScript,1,0,zxwgdft,paladin-boot
chenxingxing6/mycloud-admin,190,20,3847,6,3, JavaScript,0,4,chenxingxing6,mycloud-admin
shenshaoming/byte_easy,55,12,13225,5,4, JavaScript,1,0,shenshaoming,byte_easy
nimble-platform/business-process-service,222,47,2798,5,3, Java,5,16,nimble-platform,business-process-service
MiniApp/UziShop,788,247,94028,5,12, Java,1,0,MiniApp,UziShop
codemky/uni,615,89,1444,5,0, Java,2,2,codemky,uni
covito/legend-shop,862,84,22069,5,13, JavaScript,3,0,covito,legend-shop
ushahidi/SwiftRiver-API,249,21,1464,5,5, Java,16,18,ushahidi,SwiftRiver-API
xiaomingds/examsystem,72,12,80249,5,2, Java,1,2,xiaomingds,examsystem
softservedata/lv257,171,18,35610,5,4, Java,5,2,softservedata,lv257
FISHStack/FISH-UCKeFu,665,84,107863,5,7, Java,1,0,FISHStack,FISH-UCKeFu
joubin/CSC191,32,15,14119,5,1, Java,6,5,joubin,CSC191
aramsoft/aramcomp,345,72,21307,5,5, Java,1,1,aramsoft,aramcomp
bao17634/Warehouse-system,76,13,1787,5,1, JavaScript,1,1,bao17634,Warehouse-system
shigenwang/membership,153,18,60199,5,7, Java,1,0,shigenwang,membership
SafeExamBrowser/seb-server,680,46,8979,5,3, Java,3,0,SafeExamBrowser,seb-server
Seenck/jeecg-bpm-3.8,810,128,30635,5,8, JavaScript,0,2,Seenck,jeecg-bpm-3.8
jakarta99/iii-ee104,114,36,125139,5,2, CSS,3,0,jakarta99,iii-ee104
simbest/simbest-cores,401,28,583182,5,10, Java,3,0,simbest,simbest-cores
GraffiTab/GraffiTab-Backend,188,11,85291,5,1, HTML,3,42,GraffiTab,GraffiTab-Backend
surajcm/Poseidon,122,31,46779,4,1, Java,0,3,surajcm,Poseidon
loongw513029/buscloud,347,40,6110,4,0, Java,1,0,loongw513029,buscloud
tcrct/duang,377,12,865,4,1, Java,1,2,tcrct,duang
ZFGCCP/ZFGC3,471,26,7164,4,1, Java,6,34,ZFGCCP,ZFGC3
WilsonHu/sinsim,243,42,2374,4,0, TSQL,5,2,WilsonHu,sinsim
crypto-coder/open-cyclos,2514,1271,46129,4,8, Java,2,0,crypto-coder,open-cyclos
sfx478076717/goldenarches,56,11,18294,4,0, Java,0,0,sfx478076717,goldenarches
Qyujie/graduationpr,128,19,82250,4,3, CSS,0,2,Qyujie,graduationpr
zndo/oss-admin-parent,106,32,14826,4,0, HTML,2,0,zndo,oss-admin-parent
dp2-g56/Dp2-L02,245,40,1002,4,1, Java,2,0,dp2-g56,Dp2-L02
cable5881/Fund,201,17,4176,4,3, Java,1,0,cable5881,Fund
wangwang1230/te-empl,156,24,29367,4,5, Java,1,0,wangwang1230,te-empl
ElectiveTeam/elective_system,97,15,3692,4,0, JavaScript,1,0,ElectiveTeam,elective_system
Rocklee830630/WMSystem,816,204,100424,4,9, Java,1,0,Rocklee830630,WMSystem
75193982/HyLMS,535,141,13852,4,6, Java,0,0,75193982,HyLMS
sunxingtm/FPMS,721,91,78516,4,6, Java,1,0,sunxingtm,FPMS
next-step/jwp-jdbc,117,16,2932,4,40, Java,7,1,next-step,jwp-jdbc
KongZouXiang/TradeSteward,232,40,13484,4,1, JavaScript,1,1,KongZouXiang,TradeSteward
Glamdring/welshare,241,33,7918,4,5, Java,1,0,Glamdring,welshare
skyisbule/nanfeng,71,13,5421,4,3, Java,0,2,skyisbule,nanfeng
OHDSI/ArachneCentralAPI,832,64,87322,4,2, Java,14,7,OHDSI,ArachneCentralAPI
mingslife/LightCMS,103,17,7736,4,0, JavaScript,1,0,mingslife,LightCMS
linolee/class4,187,24,45658,4,2, JavaScript,0,4,linolee,class4
yaowuya/lprapm,105,26,57665,4,0, JavaScript,1,1,yaowuya,lprapm
yShen868/ssm03,94,14,2169,4,1, JavaScript,1,5,yShen868,ssm03
hmcts/ccd-data-store-api,673,33,18544,4,21, Java,31,18,hmcts,ccd-data-store-api
ledeqa/idoc,257,32,3253,4,3, Java,2,4,ledeqa,idoc
dagilmore/Riddlin,51,12,25836,4,0, Java,1,0,dagilmore,Riddlin
dovier/coj-web,453,62,54111,4,1, Java,5,2,dovier,coj-web
chenzhq/WsMonitor,246,16,4520,4,2, JavaScript,2,8,chenzhq,WsMonitor
AlexNastin/G3DM,184,28,46936,4,0, Java,4,0,AlexNastin,G3DM
parkkyoung/f4mall,59,15,15349,4,0, JavaScript,0,0,parkkyoung,f4mall
zhouweiwei18/HospitalSystem,210,29,30769,3,8, JavaScript,1,5,zhouweiwei18,HospitalSystem
ONSdigital/rm-collection-exercise-service,220,39,4060,3,1, Java,19,7,ONSdigital,rm-collection-exercise-service
